"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Armenia","ARM","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.9627","0.9627","1.0574","1.1486","1.2572","1.3841","1.4959","1.5236","1.5618","1.6214","1.7535","1.7592","1.7578","1.7288","1.7106","1.7132","1.8376","1.8866","1.9083","1.9607","2.9619","2.8967","1.8295","1.1892","0.1586","0.1128","0.061","0.064","0.0671","0.0701","0.5702","0.5672","0.5428","0.5854","0.6072","0.6716","0.665","1.059","1.2584","1.1427","1.263","1.2949","1.3008","1.2782","1.7057","1.6559","1.5801","1.6736","1.8011","2.0588","2.261","2.3661","2.3281","2.3112","2.2982","",
"American Samoa","ASM","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.0074","0.0074","0.006","0.0066","0.0077","0.0101","0.0108","0.0112","0.0116","0.0101","0.0145","0.0134","0.0192","0.0119","0.0144","0.0145","0.0159","0.0212","0.0223","0.0243","0.0499","0.0516","0.0527","0.0527","0.058","0.061","0.0611","0.0673","0.0703","0.0725","0.0501","0.0478","0.0517","0.0551","0.0554","0.0586","0.0673","0.0735","0.0813","0.0951","0.1037","0.0761","0.0795","0.0919","0.1015","0.1064","0.1134","0.1002","0.1027","0.1265","0.1106","0.1129","0.1171","0.1186","0.122","",
"Australia","AUS","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","32.4797","33.3739","34.3398","38.0723","39.1623","40.7179","42.0194","44.7446","47.2108","48.3325","49.5732","50.4279","51.5766","51.0273","53.2295","54.774","56.2362","57.1846","59.3872","61.2214","62.029","60.5851","62.0802","63.1851","64.8301","67.5402","70.0234","71.3855","71.3879","72.7735","75.0143","74.417","76.1324","76.4084","79.1821","79.3334","81.2516","83.5781","85.2988","84.9395","87.6345","89.7726","90.4324","91.834","92.0252","91.9222","93.2764","94.8631","97.2719","97.0408","90.5044","87.607","89.1892","96.688","100.5104","",
"Austria","AUT","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","8.8055","9.5449","10.4285","11.1489","10.2942","10.388","10.5704","11.0223","11.7574","12.3722","11.5424","10.8632","10.7833","11.1486","10.8959","11.1173","11.508","11.6903","12.4697","12.9634","13.6317","15.0539","15.0789","15.2299","15.2851","15.5076","17.1317","16.2002","18.3042","17.82","18.5603","20.0491","21.9393","23.5213","23.8499","24.5497","23.3986","23.587","22.5545","21.719","22.5295","21.7208","21.6553","23.1161","22.6591","23.1665","23.9933","24.5485","24.7957","24.8298","21.672","22.4409","21.1158","20.3353","20.0006","",
"Azerbaijan","AZE","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","2.5232","2.5232","2.7278","2.9064","3.1269","3.4342","3.6276","3.6792","3.7713","3.8794","4.0828","4.1483","4.1855","4.1859","4.2277","4.3223","4.6478","4.8448","4.9473","5.098","6.2034","4.7643","3.9988","3.6903","3.2384","3.3386","2.7058","3.2194","3.0003","1.5724","2.3599","2.603","2.9271","3.1487","3.7865","4.2128","4.8429","3.7783","4.7726","4.2484","4.9517","5.7967","6.4017","7.2931","7.5522","6.7995","6.407","7.7222","8.5101","8.4188","6.8511","7.6891","9.1366","9.8623","9.7337","",
"Burundi","BDI","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.0063","0.0063","0.0068","0.0074","0.0076","0.0093","0.0118","0.0152","0.0164","0.0182","0.0193","0.0235","0.019","0.023","0.0292","0.0271","0.0309","0.0335","0.0667","0.0752","0.0898","0.1283","0.1026","0.1149","0.1189","0.1195","0.1281","0.1286","0.1357","0.1431","0.1356","0.1063","0.1","0.0825","0.1023","0.0849","0.1091","0.1887","0.1104","0.1108","0.1594","0.1932","0.1842","0.2086","0.1796","0.1898","0.2281","0.2713","0.3697","0.3796","0.4456","0.4577","0.4692","0.4785","0.4873","",
"Belgium","BEL","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","11.4132","11.8307","12.647","12.9493","12.5614","13.4313","14.2746","14.9769","15.3768","16.2809","15.8538","15.4442","15.6412","15.9917","16.0211","16.4206","17.9117","18.4592","19.9486","20.3935","20.2056","20.3902","21.2032","21.7311","22.31","22.4591","22.9016","23.2436","23.9675","24.1909","24.4814","25.2982","25.2399","25.8828","26.9682","26.1874","26.5977","27.4288","27.5027","26.6936","25.8688","25.4717","24.7092","24.2182","24.4465","26.0942","25.7927","25.2018","25.2832","24.9612","20.7727","22.913","23.1023","23.4841","23.8962","",
"Benin","BEN","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.2513","0.2513","0.3245","0.318","0.3269","0.3558","0.1798","0.231","0.2689","0.2659","0.2596","0.1837","0.241","0.2318","0.2845","0.3595","0.3245","0.2781","0.2713","0.1933","0.1652","0.1305","0.1177","0.1177","0.1209","0.1209","0.4971","0.6799","0.7496","0.8466","0.9183","0.9873","1.175","1.3688","1.4004","1.5427","1.9615","2.4321","2.4499","2.8124","3.1702","3.2843","3.4174","3.8439","4.0673","4.5772","5.8019","5.9905","6.7484","5.9106","6.1707","4.239","4.4335","4.2395","4.4049","",
"Burkina Faso","BFA","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.027","0.027","0.029","0.0319","0.0324","0.0398","0.0508","0.0653","0.0702","0.0779","0.0828","0.0881","0.0813","0.0862","0.0876","0.0787","0.1049","0.1088","0.1469","0.1277","0.1462","0.2081","0.1816","0.1927","0.2103","0.2198","0.2365","0.3878","0.3633","0.3833","0.4032","0.4688","0.5034","0.5694","0.5193","0.5575","0.5669","0.8475","0.9294","0.8851","0.9124","1.0112","1.237","1.535","1.3374","1.7904","1.8167","2.1194","2.4278","2.5444","2.5677","3.0983","3.0692","2.9385","3.0546","",
