Location,Indicator,Period,Dim1,First Tooltip
Brazil,Concentrations of fine particulate matter (PM2.5),2020,Towns,20.16 [18.34-22.29]
Brazil,Concentrations of fine particulate matter (PM2.5),2017,Rural,20.04 [17.48-23.07]
Brazil,Concentrations of fine particulate matter (PM2.5),2021,Rural,19.05 [16.39-21.85]
Brazil,Concentrations of fine particulate matter (PM2.5),2019,Rural,18.82 [16.15-21.59]
Brazil,Concentrations of fine particulate matter (PM2.5),2022,Towns,18.55 [16.92-20.57]
Brazil,Concentrations of fine particulate matter (PM2.5),2018,Rural,18.52 [16.01-21.14]
Brazil,Concentrations of fine particulate matter (PM2.5),2020,Rural,18.33 [15.88-20.96]
Brazil,Concentrations of fine particulate matter (PM2.5),2023,Towns,17.97 [16.29-19.62]
Brazil,Concentrations of fine particulate matter (PM2.5),2022,Rural,17.02 [14.64-19.59]
Brazil,Concentrations of fine particulate matter (PM2.5),2023,Rural,16.20 [14.02-18.38]
