Data Year,State,Brand Name,Generic Name,Total Prescribers,Total Claims,Total 30-Day Fills,Total Drug Cost ($),Total Beneficiaries,Age 65+ Suppression Flag,Age 65+ Claims,Age 65+ 30-Day Fills,Age 65+ Drug Cost ($),Age 65+ Beneficiary Suppression Flag,Age 65+ Beneficiaries,Low-Income Beneficiary Cost ($),Non-Low-Income Beneficiary Cost ($),Is Opioid,Is Long-Acting Opioid,Is Antibiotic,Is Antipsychotic
2021,Alabama,1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",10,22,41.3,630.47,,#,,,,*,,22.61,6.3,N,N,N,N
2021,Alabama,Abacavir,Abacavir Sulfate,51,611,659,159387.26,81,,239,258,64712.48,,31,666.59,3042.29,N,N,N,N
2021,Alabama,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,32,297,321,84735,39,,71,71,16483.33,*,,709.1,2981.45,N,N,N,N
2021,Alabama,Abilify,Aripiprazole,18,81,111,123262.88,17,,18,30,28866.93,*,,335,45.25,N,N,N,Y
2021,Alabama,Abilify Maintena,Aripiprazole,231,5111,5124.5,12424964.65,683,,651,651,1557745.45,,98,16855.73,34750.27,N,N,N,Y
2021,Alabama,Abiraterone Acetate,Abiraterone Acetate,139,1886,1911,5718121.47,320,,1792,1817,5307570.88,,303,16980.19,437389.28,N,N,N,N
2021,Alabama,Abraxane,Paclitaxel Protein-Bound,3,14,14,145644.68,,,14,14,145644.68,*,,21.2,6346.9,N,N,N,N
2021,Alabama,Acamprosate Calcium,Acamprosate Calcium,115,434,548.4,73484.43,137,,250,319.9,40714.9,,74,399.02,6417.89,N,N,N,N
2021,Alabama,Acarbose,Acarbose,354,3278,6514.6,201626.87,858,,2625,5299.8,162810.56,,682,3247.88,37925.18,N,N,N,N
2021,Alabama,Accolate,Zafirlukast,2,14,25,6032.9,,,14,25,6032.9,*,,82.8,491.74,N,N,N,N
2021,Alabama,Accupril,Quinapril Hcl,10,31,77.3,12010.89,,,31,77.3,12010.89,*,,9.2,1420.72,N,N,N,N
2021,Alabama,Acebutolol Hcl,Acebutolol Hcl,450,2718,6256.1,173426.76,652,,2456,5702.6,158266.43,,583,1527.39,28263.7,N,N,N,N
2021,Alabama,Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,34,213,213,46722.77,76,,99,99,19393.23,,41,156.93,3679.33,Y,N,N,N
2021,Alabama,Acetaminophen-Codeine,Acetaminophen With Codeine,3164,43128,43350.8,671527.07,16054,,31027,31216.1,466390.16,,11701,33520.2,166107.06,Y,N,N,N
2021,Alabama,Acetazolamide,Acetazolamide,706,2936,4518,264971.94,1019,,1807,2802.4,137698.44,,718,3941.12,34242.91,N,N,N,N
2021,Alabama,Acetazolamide Er,Acetazolamide,233,991,1482.4,109789.14,316,,541,836.4,50362.66,,201,1396.35,11525.87,N,N,N,N
2021,Alabama,Acetic Acid,Acetic Acid,176,416,433.6,9552.42,306,,308,321.7,6738.96,,232,287.5,2502.53,N,N,N,N
2021,Alabama,Acetylcysteine,Acetylcysteine,39,209,213,21477.88,84,,174,174,16009.04,,70,160.5,520.49,N,N,N,N
2021,Alabama,Aciphex,Rabeprazole Sodium,18,85,145,96905.44,16,,62,118,78528.18,#,,172.4,3216.85,N,N,N,N
2021,Alabama,Acitretin,Acitretin,121,680,791,371517.38,170,,539,635,284691.24,,139,923.84,32859.85,N,N,N,N
2021,Alabama,Actemra,Tocilizumab,49,622,688.1,2477030.91,92,,382,437.3,1568905.15,,58,658,32441.16,N,N,N,N
2021,Alabama,Actemra Actpen,Tocilizumab,41,525,542.1,1976227.86,84,,357,374.1,1313459.33,,56,2050.86,49529.34,N,N,N,N
2021,Alabama,Acthar,Corticotropin,24,181,193.3,10136976.45,31,,101,101.8,4987422.41,,13,3323.17,67014.37,N,N,N,N
