Data Year,State,Brand Name,Generic Name,Total Prescribers,Total Claims,Total 30-Day Fills,Total Drug Cost ($),Total Beneficiaries,Age 65+ Suppression Flag,Age 65+ Claims,Age 65+ 30-Day Fills,Age 65+ Drug Cost ($),Age 65+ Beneficiary Suppression Flag,Age 65+ Beneficiaries,Low-Income Beneficiary Cost ($),Non-Low-Income Beneficiary Cost ($),Is Opioid,Is Long-Acting Opioid,Is Antibiotic,Is Antipsychotic
2023,Vermont,Proair Digihaler,Albuterol Sulfate,25,39,40.5,4089.57,27,,26,27.5,2766.01,#,,84.1,1025.86,N,N,N,N
2023,Vermont,Proair Hfa,Albuterol Sulfate,19,24,28.7,2872.93,18,#,,,,#,,451.81,181.48,N,N,N,N
2023,Vermont,Proair Respiclick,Albuterol Sulfate,148,458,507.9,40971.45,186,,362,409.2,33217.99,,154,1176.25,6285.38,N,N,N,N
2023,Vermont,Probenecid,Probenecid,49,224,489.2,30746.79,50,,172,410.4,26477.12,#,,91.99,6349.51,N,N,N,N
2023,Vermont,Probenecid-Colchicine,Probenecid/Colchicine,8,21,59,2350.27,,#,,,,*,,16.1,1090.93,N,N,N,N
2023,Vermont,Prochlorperazine,Prochlorperazine,14,20,20,1999.31,14,*,,,,*,,1.45,464.36,N,N,N,N
2023,Vermont,Prochlorperazine Maleate,Prochlorperazine Maleate,366,2046,2079.3,28377.99,1047,,1494,1524.1,21657.31,,846,452.43,4301.3,N,N,N,N
2023,Vermont,Procrit,Epoetin Alfa,4,17,22.4,20296.78,,*,,,,*,,41.4,2747.79,N,N,N,N
2023,Vermont,Procto-Med Hc,Hydrocortisone,110,176,183.3,4847.45,130,,155,162.3,4194.5,,119,151.05,1418.36,N,N,N,N
2023,Vermont,Proctofoam-Hc,Hydrocortisone/Pramoxine,10,17,17.9,4784.1,14,,17,17.9,4784.1,,14,4.15,679.39,N,N,N,N
2023,Vermont,Proctosol-Hc,Hydrocortisone,17,32,44,949.13,16,#,,,,#,,12.5,106.1,N,N,N,N
2023,Vermont,Proctozone-Hc,Hydrocortisone,11,16,16,318.44,11,#,,,,*,,3.45,90.1,N,N,N,N
2023,Vermont,Progesterone,"Progesterone, Micronized",137,578,1362.1,31454.39,202,,417,1021.8,21758.05,,149,318.07,8544,N,N,N,N
2023,Vermont,Prolastin C,Alpha-1-Proteinase Inhibitor,2,19,19,210380.73,,*,,,,*,,12.9,0,N,N,N,N
2023,Vermont,Prolensa,Bromfenac Sodium,19,97,114.1,34519.46,36,#,,,,#,,101.05,4940.97,N,N,N,N
2023,Vermont,Prolia,Denosumab,59,182,1076.5,306637.16,119,,157,926.5,263256.99,,103,182.9,35124.37,N,N,N,N
2023,Vermont,Promacta,Eltrombopag Olamine,7,42,44,818580.48,,#,,,,*,,6.3,9497.48,N,N,N,N
2023,Vermont,Promethazine Hcl,Promethazine Hcl,339,1509,1611.9,28930.35,526,,714,755.8,18582.82,,293,770.68,2763.76,N,N,N,N
2023,Vermont,Promethegan,Promethazine Hcl,30,45,45,6442.26,28,#,,,,#,,29.4,1064.97,N,N,N,N
2023,Vermont,Propafenone Hcl,Propafenone Hcl,18,88,197.3,6518.16,22,#,,,,#,,54.15,1135.57,N,N,N,N
2023,Vermont,Propafenone Hcl Er,Propafenone Hcl,15,41,116.7,11545.66,13,,41,116.7,11545.66,,13,1.45,2929.88,N,N,N,N
2023,Vermont,Propranolol Hcl,Propranolol Hcl,724,6833,12432.5,199945.47,1686,,4425,8904.6,143821.48,,1184,3283.13,33370.58,N,N,N,N
2023,Vermont,Propranolol Hcl Er,Propranolol Hcl,424,2959,6157.1,207605.08,695,,2176,4812.1,155343.26,,532,1695.73,43068.45,N,N,N,N
2023,Vermont,Propylthiouracil,Propylthiouracil,12,48,102.5,1982.02,11,,31,78.5,1153.9,*,,0,284.66,N,N,N,N
2023,Vermont,Prosol,Parenteral Amino Acid 20% No.1,2,52,52,8044.92,,,52,52,8044.92,*,,0,1347.04,N,N,N,N
2023,Vermont,Protonix,Pantoprazole Sodium,10,36,64,35021.11,,#,,,,*,,21.5,3130.51,N,N,N,N
2023,Vermont,Protriptyline Hcl,Protriptyline Hcl,3,19,31,11597.71,,#,,,,*,,1.45,508.98,N,N,N,N
2023,Vermont,Provigil,Modafinil,3,12,20,54250.45,,,12,20,54250.45,*,,0,228.36,N,N,N,N
2023,Vermont,Prozac,Fluoxetine Hcl,23,102,165.7,135368.23,17,#,,,,#,,223.1,749.4,N,N,N,N
2023,Vermont,Pulmicort Flexhaler,Budesonide,162,553,893.5,193543.67,192,,421,715,152013.79,,151,1529.94,34392.14,N,N,N,N
2023,Vermont,Pyridostigmine Bromide,Pyridostigmine Bromide,76,698,1232.9,76878.89,177,,633,1129.3,71492.38,,163,406.85,19920.6,N,N,N,N
2023,Vermont,Pyridostigmine Bromide Er,Pyridostigmine Bromide,7,19,57,53807.6,,#,,,,*,,4.15,1661.66,N,N,N,N
2023,Vermont,Qnasl,Beclomethasone Dipropionate,5,28,39,11310.39,,*,,,,*,,18.3,2203.28,N,N,N,N
