Data Year,State,Brand Name,Generic Name,Total Prescribers,Total Claims,Total 30-Day Fills,Total Drug Cost ($),Total Beneficiaries,Age 65+ Suppression Flag,Age 65+ Claims,Age 65+ 30-Day Fills,Age 65+ Drug Cost ($),Age 65+ Beneficiary Suppression Flag,Age 65+ Beneficiaries,Low-Income Beneficiary Cost ($),Non-Low-Income Beneficiary Cost ($),Is Opioid,Is Long-Acting Opioid,Is Antibiotic,Is Antipsychotic
2018,Alabama,1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",9,21,40.7,446.01,11,#,,,,*,,105.4,107.4,N,N,N,N
2018,Alabama,Abacavir,Abacavir Sulfate,65,911,985,236622.88,122,,289,311,79367.29,,33,1751.5,3911.8,N,N,N,N
2018,Alabama,Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,44,538,570,205133.98,72,,84,88,45597.03,,12,342.2,7642.2,N,N,N,N
2018,Alabama,Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine,16,104,112,135577.15,12,,34,42,49579.65,*,,58.6,8738.3,N,N,N,N
2018,Alabama,Abilify,Aripiprazole,25,148,182,201873.3,21,,28,36,36600.09,*,,391.1,2086.9,N,N,N,Y
2018,Alabama,Abilify Maintena,Aripiprazole,187,4222,4228.9,8850650.28,616,,578,580,1204218.48,,85,16029.4,45059,N,N,N,Y
2018,Alabama,Abiraterone Acetate,Abiraterone Acetate,39,55,56,420506.38,53,#,,,,#,,761,11565.4,N,N,N,N
2018,Alabama,Abraxane,Paclitaxel Protein-Bound,3,12,12,78820.29,,*,,,,*,,1625.6,0,N,N,N,N
2018,Alabama,Acamprosate Calcium,Acamprosate Calcium,81,313,337.7,47137.45,96,,189,207.1,27531.13,,54,568.9,4193.8,N,N,N,N
2018,Alabama,Acarbose,Acarbose,297,2240,4197.9,124971,627,,1818,3454.8,102203.54,,506,1934.1,31980.9,N,N,N,N
2018,Alabama,Accolate,Zafirlukast,4,14,24,5671.94,,*,,,,*,,83.5,351.3,N,N,N,N
2018,Alabama,Accupril,Quinapril Hcl,15,29,63.5,10361.07,13,,29,63.5,10361.07,,13,3.7,828.6,N,N,N,N
2018,Alabama,Acebutolol Hcl,Acebutolol Hcl,460,3240,6731,109773.73,692,,2854,6057.9,99106.8,,617,1632.9,36370.7,N,N,N,N
2018,Alabama,Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,40,233,237.5,39226.81,81,,102,104,17083.02,,34,166.1,4488.3,Y,N,N,N
2018,Alabama,Acetaminophen-Codeine,Acetaminophen With Codeine,3597,50068,50862.8,605131.23,19710,,33315,33935,401788.44,,13304,36840,180321.2,Y,N,N,N
